"RB","Andre Ellington",3500,"NO@Ari 04:05PM ET",1.815,"Ari"
"WR","Torrey Smith",3500,"SF@Atl 04:05PM ET",5.392,"SF"
"RB","Rex Burkhead",3500,"Pit@Cin 01:00PM ET",2.369,"Cin"
"WR","Marquess Wilson",3400,"GB@Chi 01:00PM ET",11.333,"Chi"
"WR","Russell Shepard",3400,"TB@Dal 08:30PM ET",4.827,"TB"
"TE","Jason Witten",3400,"TB@Dal 08:30PM ET",9.915,"Dal"
"WR","Allen Hurns",3400,"Jax@Hou 01:00PM ET",9.155,"Jax"
"DST","Chiefs ",3400,"Ten@KC 01:00PM ET",10.615,"KC"
"RB","Matt Asiata",3400,"Ind@Min 01:00PM ET",8.738,"Min"
"WR","Jeremy Kerley",3400,"SF@Atl 04:05PM ET",9.200,"SF"
"WR","Aldrick Robinson",3400,"SF@Atl 04:05PM ET",3.162,"Atl"
"RB","DeAndre Washington",3400,"Oak@SD 04:25PM ET",4.117,"Oak"
"RB","James Starks",3300,"GB@Chi 01:00PM ET",6.544,"GB"
"WR","Joshua Bellamy",3300,"GB@Chi 01:00PM ET",3.462,"Chi"
"WR","Paul Turner",3300,"Phi@Bal 01:00PM ET",5.533,"Phi"
"TE","Dennis Pitta",3300,"Phi@Bal 01:00PM ET",10.658,"Bal"
"WR","Tajae Sharpe",3300,"Ten@KC 01:00PM ET",7.269,"Ten"
"WR","Victor Cruz",3300,"Det@NYG 01:00PM ET",6.633,"NYG"
"RB","Robert Turbin",3300,"Ind@Min 01:00PM ET",5.558,"Ind"
"WR","Justin Hardy",3300,"SF@Atl 04:05PM ET",3.723,"Atl"
"WR","Danny Amendola",3300,"NE@Den 04:25PM ET",5.858,"NE"
"DST","Packers ",3200,"GB@Chi 01:00PM ET",6.077,"GB"
"WR","Terrance Williams",3200,"TB@Dal 08:30PM ET",7.538,"Dal"
"RB","Denard Robinson",3200,"Jax@Hou 01:00PM ET",1.492,"Jax"
"RB","Duke Johnson Jr.",3200,"Cle@Buf 01:00PM ET",9.508,"Cle"
"WR","Kendall Wright",3200,"Ten@KC 01:00PM ET",9.456,"Ten"
"WR","Albert Wilson",3200,"Ten@KC 01:00PM ET",5.800,"KC"
"WR","Cordarrelle Patterson",3200,"Ind@Min 01:00PM ET",7.808,"Min"
"TE","Coby Fleener",3200,"NO@Ari 04:05PM ET",9.654,"NO"
"WR","Quinton Patton",3200,"SF@Atl 04:05PM ET",6.038,"SF"
"RB","Jalen Richard",3200,"Oak@SD 04:25PM ET",6.838,"Oak"
"WR","Eddie Royal",3100,"GB@Chi 01:00PM ET",10.100,"Chi"
"WR","Marquise Goodwin",3100,"Cle@Buf 01:00PM ET",6.783,"Buf"
"WR","Breshad Perriman",3100,"Phi@Bal 01:00PM ET",6.375,"Bal"
"WR","Nelson Agholor",3100,"Phi@Bal 01:00PM ET",6.067,"Phi"
"DST","Ravens ",3100,"Phi@Bal 01:00PM ET",9.417,"Bal"
"WR","Chris Conley",3100,"Ten@KC 01:00PM ET",6.231,"KC"
"TE","Vance McDonald",3100,"SF@Atl 04:05PM ET",7.918,"SF"
"RB","Ka'Deem Carey",3000,"GB@Chi 01:00PM ET",2.091,"Chi"
"RB","Aaron Ripkowski",3000,"GB@Chi 01:00PM ET",2.385,"GB"
"RB","Joe Kerridge",3000,"GB@Chi 01:00PM ET",0.000,"GB"
"RB","Paul Lasike",3000,"GB@Chi 01:00PM ET",0.233,"Chi"
"WR","Deonte Thompson",3000,"GB@Chi 01:00PM ET",2.038,"Chi"
"WR","Trevor Davis",3000,"GB@Chi 01:00PM ET",1.040,"GB"
"WR","Daniel Braverman",3000,"GB@Chi 01:00PM ET",0.000,"Chi"
"WR","Jeff Janis",3000,"GB@Chi 01:00PM ET",2.638,"GB"
"WR","Geronimo Allison",3000,"GB@Chi 01:00PM ET",1.829,"GB"
"RB","Darren McFadden",3000,"TB@Dal 08:30PM ET",0,"Dal"
"RB","Lance Dunbar",3000,"TB@Dal 08:30PM ET",2.640,"Dal"
"RB","Keith Smith",3000,"TB@Dal 08:30PM ET",0.423,"Dal"
"RB","Darius Jackson",3000,"TB@Dal 08:30PM ET",0.000,"Dal"
"RB","Peyton Barber",3000,"TB@Dal 08:30PM ET",2.850,"TB"
"WR","Brice Butler",3000,"TB@Dal 08:30PM ET",3.262,"Dal"
"WR","Josh Huff",3000,"TB@Dal 08:30PM ET",4.550,"TB"
"WR","Freddie Martino",3000,"TB@Dal 08:30PM ET",2.280,"TB"
"WR","Lucky Whitehead",3000,"TB@Dal 08:30PM ET",1.133,"Dal"
"WR","Vince Mayle",3000,"TB@Dal 08:30PM ET",0.000,"Dal"
"WR","Donteea Dye",3000,"TB@Dal 08:30PM ET",0.000,"TB"
"RB","Jonathan Grimes",3000,"Jax@Hou 01:00PM ET",2.929,"Hou"
"RB","Jay Prosch",3000,"Jax@Hou 01:00PM ET",0.154,"Hou"
"RB","Corey Grant",3000,"Jax@Hou 01:00PM ET",1.250,"Jax"
"RB","Tyler Ervin",3000,"Jax@Hou 01:00PM ET",0.310,"Hou"
"RB","Bronson Hill",3000,"Jax@Hou 01:00PM ET",0,"Jax"
